"球员","所属球队","出场.替补.","出场时间","进球.点.","分钟.球","射门","射正","入球转化率","被侵犯","越位","最佳","生日","惯用脚","国籍","合同截止期","位置","铲断","拦截","解围","偷球","封堵","头球","犯规","总传球","传球成功率","关键传球","助攻","分钟.助攻","长传","直塞","带球摆脱","联赛","名次","身价"
"O.芬克","杜塞尔多夫","18(5)",1058,"3",352.7,12,3,"25%",19,3,1,"1982-06-06","右脚","德国","2019-06-30","中场",38,13,19,21,3,70,25,381,0.593,7,0,0,25,0,10,"德甲",128,22.5
"A·巴尔库克","杜塞尔多夫","12(8)",545,"0",0,5,0,"0%",0,0,0,"1998-05-21","右脚","德国、摩洛哥","2019-06-30","中场",12,5,3,8,1,12,9,215,0.763,3,0,0,20,0,7,"德甲",128,180
"K.斯托格","杜塞尔多夫","25(1)",2121,"1",2121,33,10,"3%",60,1,3,"1993-08-27","左脚","奥地利","2020-06-30","中场",62,32,18,24,5,4,47,1358,0.848,54,7,303,192,4,27,"德甲",128,180
"齐默曼","杜塞尔多夫","34",3050,"1",3050,15,5,"6.7%",30,0,0,"1992-06-16","右脚","德国","2020-06-30","中场",94,68,76,15,18,39,50,1278,0.784,21,3,1016.7,165,1,18,"德甲",128,90
"卡拉曼","杜塞尔多夫","20(11)",914,"3",304.7,22,9,"13.6%",14,6,1,"1994-03-05","右脚","土耳其、德国","2021-06-30","中场",14,2,7,15,1,27,14,267,0.719,14,1,914,12,0,16,"德甲",128,135
"霍夫曼","杜塞尔多夫","13(2)",1047,"0",0,5,1,"0%",3,1,0,"1993-02-28","右脚","德国","2020-06-30","中场",22,22,40,2,12,23,15,487,0.873,1,0,0,72,0,0,"德甲",128,135
"亨宁斯","杜塞尔多夫","29(10)",1832,"7(1)",305.3,59,22,"10.2%",22,6,0,"1987-08-28","左脚","德国","2020-06-30","前锋",14,4,18,12,1,51,23,440,0.655,28,4,458,25,2,3,"德甲",128,135
"马卡明斯基","杜塞尔多夫","27",2430,"0",0,8,1,"0%",8,1,0,"1992-01-15","左脚","波兰","2019-06-30","后卫",18,48,103,1,11,49,7,1153,0.836,7,1,2430,209,0,1,"德甲",128,225
"吉塞尔曼","杜塞尔多夫","30(1)",2594,"0",0,26,7,"0%",35,4,0,"1991-09-26","左脚","德国","2020-06-30","后卫",59,37,62,9,6,52,26,1071,0.743,26,3,864.7,220,0,12,"德甲",128,135
"博尔穆斯","杜塞尔多夫","9(3)",612,"0",0,0,0,"0%",3,1,0,"1995-09-19","右脚","德国","2020-06-30","后卫",8,10,46,1,4,13,5,268,0.799,1,0,0,53,0,1,"德甲",128,90
"大禾洛夫云","杜塞尔多夫","2(2)",44,"0",0,1,1,"0%",1,0,0,"1998-10-03","左脚","克罗地亚","2023-06-30","中场",1,0,0,1,0,1,0,18,0.778,0,0,0,0,0,0,"德甲",128,67.5
"马塞尔.索博特卡","杜塞尔多夫","14(3)",944,"0",0,6,2,"0%",13,0,0,"1994-04-25","右脚","德国","2022-06-30","中场",34,26,14,8,5,21,26,337,0.792,2,0,0,27,0,2,"德甲",128,225
"苏特纳","杜塞尔多夫","6",491,"1",491,4,1,"25%",1,0,0,"1987-04-16","左脚","奥地利","2019-06-30","后卫",10,9,11,4,3,7,6,195,0.774,9,1,491,45,0,0,"德甲",128,180
"K阿耶汉","杜塞尔多夫","28",2451,"4",612.8,23,9,"17.4%",16,2,2,"1994-11-10","右脚","土耳其、德国","2021-06-30","后卫",57,63,114,6,15,43,25,1419,0.879,6,1,2451,241,3,12,"德甲",128,270
"J.森马","杜塞尔多夫","18(1)",1439,"1",1439,10,3,"10%",24,0,1,"1993-12-06","右脚","德国","2022-06-30","后卫",17,14,24,12,2,4,10,455,0.703,34,2,719.5,70,1,7,"德甲",128,113
"莫拉雷斯","杜塞尔多夫","23(7)",1527,"1",1527,19,9,"5.3%",15,1,1,"1990-05-12","右脚","美国、德国","2021-06-30","中场",31,24,29,15,9,85,43,671,0.735,8,1,1527,66,1,3,"德甲",128,90
"大衛.克納奇","杜塞尔多夫","10(3)",576,"4",144,11,4,"36.4%",9,2,1,"1997-03-14","右脚","波兰","2022-06-30","中场",11,3,8,8,0,14,4,141,0.674,5,0,0,13,0,5,"德甲",128,630
"D.鲁克","杜塞尔多夫","31(9)",1978,"10(4)",329.7,56,31,"10.7%",50,14,1,"1997-09-24","左脚","比利时、比利时","2019-06-30","中场",24,8,16,50,0,22,28,540,0.761,20,3,659.3,53,1,47,"德甲",128,270
"德罗布尼","杜塞尔多夫","2",180,"0",0,0,0,"0%",0,0,0,"1979-10-18","右脚","捷克","2019-06-30","守门员",0,0,2,0,0,1,0,30,0.7,0,0,0,23,0,0,"德甲",128,9
"伦辛","杜塞尔多夫","32",2880,"0",0,0,0,"0%",4,0,1,"1984-05-14","右脚","德国","2019-06-30","守门员",2,3,38,0,0,16,0,858,0.594,0,0,0,602,0,0,"德甲",128,36
"博德泽克","杜塞尔多夫","21(1)",1610,"0",0,2,0,"0%",41,0,0,"1985-09-07","右脚","波兰、德国","2019-06-30","中场",44,28,41,6,6,37,33,690,0.845,9,1,1610,99,0,1,"德甲",128,36
"拉曼","杜塞尔多夫","30(11)",1678,"10",167.8,55,26,"18.2%",18,1,3,"1994-11-07","右脚","比利时","2024-06-30","中场",34,14,7,26,2,5,26,410,0.698,21,4,419.5,49,1,35,"德甲",128,1080
"杜迪亚洛","多特蒙德","28(1)",2396,"1",2396,10,4,"10%",12,1,1,"1996-05-04","左脚","法国、塞内加尔","2024-06-30","后卫",38,29,86,16,15,50,21,1814,0.889,11,1,2396,204,1,39,"德甲",14,3150
"达霍德","多特蒙德","14(7)",695,"1",695,11,2,"9.1%",7,0,0,"1996-01-01","右脚","德国、叙利亚","2022-06-30","中场",16,18,8,12,0,6,12,451,0.829,8,0,0,50,7,7,"德甲",14,1620
"托普拉克","多特蒙德","5(4)",229,"0",0,1,0,"0%",1,0,0,"1989-07-21","右脚","土耳其、德国","2021-06-30","后卫",0,0,7,2,1,2,2,174,0.966,0,0,0,5,0,1,"德甲",14,630
"桑乔","多特蒙德","34(8)",2462,"12",205.2,40,22,"30%",38,3,4,"2000-03-25","右脚","英格兰、特立尼达和多巴哥","2022-06-30","中场",22,14,5,61,1,1,5,1298,0.851,61,13,189.4,37,6,107,"德甲",14,7200
"罗伊斯","多特蒙德","27",2352,"17(3)",168,70,34,"20%",31,15,4,"1989-05-31","右脚","德国","2023-06-30","中场",35,9,30,39,1,18,34,1016,0.822,39,8,294,57,3,25,"德甲",14,4500
"雅各伯.拉森","多特蒙德","23(7)",1270,"2",635,26,9,"7.7%",8,4,1,"1998-09-19","右脚","丹麦","2021-06-30","中场",14,13,12,20,1,14,3,507,0.783,18,2,635,22,5,15,"德甲",14,1800
"阿尔卡塞尔","多特蒙德","26(15)",1203,"18(1)",70.8,52,28,"32.7%",7,9,3,"1993-08-30","右脚","西班牙","2019-06-30","前锋",3,6,7,13,0,11,5,283,0.746,15,0,0,9,7,6,"德甲",14,3600
"魏格尔","多特蒙德","18(2)",1455,"1",1455,2,0,"50%",16,0,0,"1995-09-08","右脚","德国","2021-06-30","中场",31,19,53,5,10,18,13,1201,0.931,2,0,0,113,4,5,"德甲",14,1980
"施梅尔策","多特蒙德","8(2)",564,"0",0,3,0,"0%",12,1,0,"1988-01-22","左脚","德国","2021-06-30","后卫",9,10,12,5,1,10,4,371,0.846,3,1,564,19,0,4,"德甲",14,450
"阿什拉夫","多特蒙德","21(2)",1756,"2",878,20,5,"10%",35,0,0,"1998-11-04","右脚","摩洛哥、西班牙","2020-06-30","后卫",34,29,39,27,4,15,14,1328,0.861,12,4,439,91,5,38,"德甲",14,2700
"德莱尼","多特蒙德","29(2)",2291,"3",763.7,33,10,"9.1%",25,2,2,"1991-09-03","左脚","丹麦、美国","2022-06-30","中场",66,58,43,14,9,59,45,1600,0.858,15,5,458.2,141,1,10,"德甲",14,2430
"M.菲利普","多特蒙德","15(6)",758,"1",758,13,3,"7.7%",15,5,0,"1994-03-01","右脚","德国","2022-06-30","前锋",5,3,5,14,0,14,11,222,0.784,5,1,758,7,1,5,"德甲",14,1350
"格策","多特蒙德","26(7)",1680,"7",240,28,16,"25%",26,11,3,"1992-06-03","右脚","德国","2020-06-30","中场",27,9,4,40,0,8,20,864,0.815,42,7,240,22,8,28,"德甲",14,1620
"维特塞尔","多特蒙德","33(1)",2873,"4",718.2,36,11,"11.1%",50,0,0,"1989-01-12","右脚","比利时","2022-06-30","中场",45,46,47,25,6,46,26,2398,0.93,16,1,2873,110,2,22,"德甲",14,3600
"布尔基","多特蒙德","32",2880,"0",0,0,0,"0%",8,0,0,"1990-11-14","右脚","瑞士","2021-06-30","守门员",1,1,20,0,0,12,0,903,0.657,0,0,0,479,0,0,"德甲",14,1260
"克里斯蒂安.普里希奇","多特蒙德","20(11)",924,"4",231,27,10,"14.8%",27,7,1,"1998-09-18","右脚","美国、克罗地亚","2019-06-30","中场",10,6,9,41,2,15,9,483,0.791,20,4,231,14,1,43,"德甲",14,5400
"皮什切克","多特蒙德","20",1759,"1",1759,12,4,"8.3%",10,0,4,"1985-06-03","右脚","波兰","2020-06-30","后卫",56,42,59,8,3,61,17,1112,0.833,21,6,293.2,57,4,9,"德甲",14,360
"希茨","多特蒙德","2",180,"0",0,0,0,"0%",1,0,0,"1987-09-18","右脚","瑞士","2021-06-30","守门员",0,0,2,0,0,1,1,58,0.776,0,0,0,21,0,0,"德甲",14,270
"扎加杜","多特蒙德","17(2)",1266,"2",633,10,3,"20%",4,0,0,"1999-06-03","左脚","法国","2022-06-30","后卫",11,26,66,3,11,47,13,1039,0.877,2,0,0,103,0,12,"德甲",14,2700
"M.沃夫","多特蒙德","13(3)",853,"1",853,7,3,"14.3%",13,2,1,"1995-05-27","右脚","德国","2023-06-30","中场",13,13,10,13,0,8,13,553,0.846,8,0,0,23,1,10,"德甲",14,720
"阿坎吉","多特蒙德","25",2205,"1",2205,7,3,"14.3%",17,0,0,"1995-07-19","右脚","瑞士、尼日利亚","2022-06-30","后卫",30,29,87,7,13,47,13,1824,0.928,6,0,0,184,0,9,"德甲",14,3600
"R.古尔瑞奥","多特蒙德","23(6)",1527,"2",763.5,35,14,"5.7%",21,3,1,"1993-12-22","左脚","葡萄牙、法国","2020-06-30","中场",24,20,11,25,1,6,10,1055,0.857,38,6,254.5,32,3,30,"德甲",14,1800
"L.卡佩齐","恩波利","10(2)",695,"0",0,10,1,"0%",6,0,0,"1995-03-29","右脚","意大利","2019-06-30","中场",13,9,6,5,3,8,20,482,0.851,2,0,0,56,0,6,"意甲",NA,108
"卡普托","恩波利","38",3420,"16(3)",263.1,95,43,"13.7%",35,31,1,"1987-08-06","右脚","意大利","2022-06-30","前锋",14,4,11,48,2,24,27,850,0.772,46,3,1140,26,2,10,"意甲",NA,360
"J.拉斯马森","恩波利","14(4)",1014,"0",0,3,0,"0%",5,0,0,"1997-05-28","左脚","丹麦","2022-06-30","后卫",18,10,50,1,13,33,8,634,0.882,3,1,1014,81,1,3,"意甲",NA,90
"维塞里","恩波利","30(2)",2535,"0",0,5,0,"0%",9,2,0,"1992-11-20","右脚","阿尔巴尼亚、瑞士","2021-06-30","后卫",35,29,89,7,17,13,35,1194,0.863,6,0,0,148,1,4,"意甲",NA,67.5
"G.洛伦佐","恩波利","37",3330,"5",666,21,9,"23.8%",52,2,1,"1993-08-04","右脚","意大利","2022-06-30","后卫",68,37,66,45,14,39,45,1769,0.803,40,3,1110,124,3,28,"意甲",NA,810
"马耶塔","恩波利","21",1721,"0",0,7,2,"0%",4,1,0,"1982-08-03","右脚","意大利","2019-06-30","后卫",34,24,76,2,14,31,18,957,0.848,4,0,0,173,0,7,"意甲",NA,36
"特劳雷","恩波利","32(6)",2284,"2",1142,44,12,"4.5%",21,7,1,"2000-02-16","双脚","科特迪瓦","2021-06-30","中场",67,28,18,49,4,16,37,958,0.793,26,2,1142,90,6,40,"意甲",NA,1260
"法里亚斯","恩波利","32(9)",1903,"7",271.9,58,26,"12.1%",28,10,1,"1990-05-10","右脚","巴西","2021-06-30","中场",23,2,8,36,2,6,22,528,0.816,26,4,475.8,21,5,16,"意甲",NA,297
"安东内利","恩波利","11(2)",703,"0",0,5,3,"0%",19,3,0,"1987-02-11","左脚","意大利","2019-06-30","后卫",13,12,20,3,4,11,9,293,0.724,5,1,703,38,0,5,"意甲",NA,553
"J.拉斯马森","恩波利","14(4)",1014,"0",0,3,0,"0%",5,0,0,"1997-05-28","左脚","丹麦","2022-06-30","中场",18,10,50,1,13,33,8,634,0.882,3,1,1014,81,1,3,"意甲",NA,90
"尤坎","恩波利","12(11)",231,"1",231,12,4,"8.3%",1,0,0,"1994-01-06","双脚","土耳其","2021-06-30","中场",10,6,1,7,0,4,4,143,0.741,4,1,231,12,2,5,"意甲",NA,90
"B·达拉高维斯奇","恩波利","17(1)",1485,"0",0,0,0,"0%",4,0,2,"1997-08-19","右脚","波兰","2019-06-30","守门员",0,0,20,0,0,6,1,490,0.606,0,0,0,278,0,0,"意甲",NA,135
"布里吉","恩波利","9(8)",223,"1",223,1,1,"100%",8,0,0,"1981-02-14","右脚","意大利","2019-06-30","中场",11,3,2,4,0,4,6,90,0.811,2,0,0,3,0,0,"意甲",NA,27
"帕斯夸尔","恩波利","22(9)",1339,"1(1)",0,8,1,"0%",10,0,0,"1982-03-13","左脚","意大利","2019-06-30","后卫",28,12,25,6,0,3,13,745,0.733,21,2,669.5,118,0,2,"意甲",NA,45
"伊斯梅尔","恩波利","37(5)",2960,"0",0,19,5,"0%",59,0,2,"1997-12-01","左脚","阿尔及利亚、法国","2021-06-30","中场",93,54,29,46,10,34,46,1896,0.862,32,5,592,205,3,61,"意甲",NA,270
"姆切利泽","恩波利","11(11)",197,"0",0,4,1,"0%",2,0,0,"1990-03-24","左脚","格鲁吉亚","2019-06-30","前锋",1,1,4,4,0,4,5,48,0.75,3,1,197,2,0,1,"意甲",NA,54
"拉德","恩波利","33",2785,"5",557,54,16,"9.3%",76,0,1,"1993-10-07","右脚","波黑","2024-06-30","中场",39,24,29,37,13,50,47,1291,0.81,54,7,397.9,68,7,41,"意甲",NA,720
"克里斯丁.戴尔","恩波利","14(1)",1144,"1",1144,5,1,"20%",11,0,0,"1994-02-10","左脚","意大利","2020-06-30","后卫",16,17,43,5,7,15,12,541,0.869,4,1,1144,37,0,3,"意甲",NA,90
"帕罗维迪","恩波利","16",1440,"0",0,0,0,"0%",4,0,0,"1994-03-17","右脚","意大利","2021-06-30","守门员",0,0,14,0,0,3,1,378,0.693,3,0,0,209,0,0,"意甲",NA,81
"安东尼奥","恩波利","22(9)",1168,"2",584,27,9,"7.4%",21,19,2,"1996-03-06","右脚","意大利","2023-06-30","前锋",6,6,5,13,2,16,17,141,0.794,6,2,584,0,0,16,"意甲",NA,450
"马尔科帕亚茨","恩波利","13(4)",839,"2",419.5,9,4,"22.2%",9,0,1,"1993-05-11","左脚","克罗地亚","2021-06-30","后卫",8,8,18,13,1,2,11,311,0.826,10,2,419.5,24,0,9,"意甲",NA,54
"长谷部诚","法兰克福","28",2520,"0",0,2,1,"0%",30,1,0,"1984-01-18","右脚","日本","2020-06-30","中场",51,39,97,6,21,31,17,1450,0.852,7,0,0,245,2,5,"德甲",43,90
"费尔南德斯","法兰克福","28",2277,"1",2277,4,3,"25%",6,0,0,"1986-09-02","右脚","瑞士、佛得角","2020-06-30","中场",74,53,16,13,8,36,56,836,0.835,4,0,0,33,0,4,"德甲",43,135
"希特雷格","法兰克福","32",2719,"3",906.3,28,6,"10.7%",24,2,2,"1992-09-07","左脚","奥地利","2019-06-30","后卫",80,38,112,10,21,104,27,1427,0.746,9,0,0,305,4,7,"德甲",43,900
"西蒙法尼迪","法兰克福","7",601,"0",0,3,1,"0%",4,1,0,"1992-02-19","左脚","法国、法国","2021-06-30","后卫",10,14,31,4,5,20,5,288,0.736,0,0,0,51,0,0,"德甲",43,315
"鲁斯","法兰克福","5(2)",378,"0",0,1,0,"0%",1,0,0,"1985-08-04","右脚","德国","2019-06-30","后卫",7,4,8,3,2,16,3,110,0.718,1,0,0,13,1,0,"德甲",43,90
"罗德","法兰克福","12",931,"0",0,4,2,"0%",10,0,0,"1990-10-11","右脚","德国","2019-06-30","中场",33,19,13,6,0,17,16,513,0.832,18,0,0,47,4,11,"德甲",43,270
"O.尼迪斯卡","法兰克福","26(3)",2212,"1",2212,13,2,"7.7%",7,1,0,"1999-08-20","左脚","法国、喀麦隆","2023-06-30","后卫",43,31,104,12,10,71,27,1061,0.789,4,1,2212,178,0,4,"德甲",43,1980
"达科斯塔","法兰克福","34",3035,"2",1517.5,21,7,"9.5%",20,12,1,"1993-07-13","右脚","德国、安哥拉","2022-06-30","后卫",63,27,54,24,9,55,33,910,0.626,32,4,758.8,139,0,29,"德甲",43,1080
"塔利布","法兰克福","2(1)",124,"0",0,0,0,"0%",2,0,0,"1992-06-21","左脚","以色列、苏丹","2019-06-30","后卫",1,0,1,1,0,2,1,36,0.694,0,0,0,7,0,1,"德甲",43,135
"威廉姆斯","法兰克福","21(14)",775,"0",0,5,1,"0%",8,1,0,"1994-03-30","左脚","荷兰、库拉索","2021-06-30","后卫",20,11,10,17,4,10,6,262,0.698,20,1,775,28,1,9,"德甲",43,585
"托罗","法兰克福","8(2)",560,"0",0,5,1,"0%",7,0,0,"1994-07-19","右脚","西班牙","2023-06-30","中场",14,14,13,5,1,40,11,251,0.717,2,0,0,26,0,1,"德甲",43,450
"德古兹曼","法兰克福","28(11)",1562,"3",520.7,22,7,"13.6%",17,2,1,"1987-09-13","右脚","荷兰、加拿大","2020-06-30","中场",33,12,12,19,2,23,18,824,0.792,37,6,260.3,79,7,13,"德甲",43,270
"图雷","法兰克福","6",519,"0",0,2,0,"0%",1,0,0,"1996-04-28","右脚","法国、马里","2023-06-30","后卫",17,10,26,1,1,16,5,239,0.728,1,0,0,23,1,11,"德甲",43,720
"M.卡西诺威克","法兰克福","28(12)",1621,"0",0,21,1,"0%",41,2,0,"1995-02-08","右脚","塞尔维亚、波黑","2022-06-30","中场",31,23,6,20,1,11,20,583,0.722,19,1,1621,39,5,28,"德甲",43,810
"特拉普","法兰克福","33",2938,"0",0,0,0,"0%",8,0,1,"1990-07-08","右脚","德国","2019-06-30","守门员",0,0,29,0,0,15,0,1096,0.636,0,0,0,770,0,0,"德甲",43,900
"S.哈勒","法兰克福","29(6)",2180,"15(3)",181.7,53,25,"22.6%",42,20,3,"1994-06-22","右脚","法国、科特迪瓦","2024-06-30","前锋",24,11,23,48,1,199,42,783,0.635,39,9,242.2,23,5,25,"德甲",43,3600
"路劳","法兰克福","2(1)",122,"0",0,0,0,"0%",0,0,0,"1992-08-04","右脚","丹麦","2022-06-30","守门员",0,0,1,0,0,0,0,52,0.615,0,0,0,42,0,0,"德甲",43,225
"F.可斯特","法兰克福","34(1)",2962,"6",493.7,60,18,"10%",39,3,4,"1992-11-01","左脚","塞尔维亚","2020-06-30","中场",63,23,36,48,6,44,26,1006,0.639,46,10,296.2,146,2,53,"德甲",43,1350
"阿布拉汉姆","法兰克福","17",1422,"0",0,5,1,"0%",9,0,1,"1986-07-15","右脚","阿根廷、意大利","2021-06-30","后卫",22,27,61,3,12,41,10,653,0.776,5,0,0,134,0,6,"德甲",43,315
"斯滕德拉","法兰克福","5(5)",105,"0",0,0,0,"0%",0,0,0,"1995-12-10","右脚","德国","2020-06-30","中场",5,0,0,0,1,0,2,91,0.868,1,0,0,9,0,0,"德甲",43,180
"雷比奇","法兰克福","28(5)",2010,"9",223.3,61,28,"14.8%",21,18,1,"1993-09-21","右脚","克罗地亚","2022-06-30","中场",18,8,3,76,1,37,47,495,0.568,33,4,502.5,23,6,46,"德甲",43,3150
"帕西恩西亚","法兰克福","11(7)",388,"3",129.3,19,7,"15.8%",10,2,1,"1994-08-01","右脚","葡萄牙","2022-06-30","前锋",3,0,1,12,1,18,15,93,0.613,4,1,388,7,2,6,"德甲",43,270
"钱德勒","法兰克福","1(1)",16,"0",0,0,0,"0%",0,0,0,"1990-03-29","右脚","美国、德国","2020-06-30","后卫",0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,"德甲",43,450
"凯文.施罗特贝克","弗赖堡","9(1)",772,"0",0,2,1,"0%",5,0,0,"1997-04-28","左脚","德国","2020-06-30","后卫",22,15,25,1,11,11,5,445,0.87,0,0,0,51,0,6,"德甲",NA,90
"蒂姆","弗赖堡","4(2)",199,"0",0,5,1,"0%",1,3,0,"1995-08-31","右脚","德国","2019-06-30","中场",4,0,7,2,0,7,8,57,0.702,1,0,0,2,1,3,"德甲",NA,180
"古尔德","弗赖堡","21(1)",1713,"1",1713,6,2,"16.7%",20,1,1,"1991-02-12","右脚","德国","2022-06-30","后卫",25,25,86,1,13,31,9,874,0.823,3,0,0,163,0,1,"德甲",NA,225
"R.科克","弗赖堡","23(2)",1898,"1",1898,11,2,"9.1%",18,2,0,"1996-07-17","右脚","德国","2021-06-30","后卫",25,32,75,14,19,67,20,880,0.819,5,0,0,110,0,6,"德甲",NA,630
"J.哈贝尔略","弗赖堡","27(1)",2386,"1",2386,26,4,"3.8%",46,3,1,"1994-04-02","右脚","德国","2020-06-30","中场",70,39,52,44,4,54,46,1040,0.794,46,3,795.3,95,1,22,"德甲",NA,450
"彼得森","弗赖堡","24(4)",1930,"10(1)",214.4,49,23,"18.4%",19,2,2,"1988-12-06","右脚","德国","2021-06-30","前锋",29,14,32,28,1,92,23,508,0.679,20,3,643.3,30,0,5,"德甲",NA,1080
"施沃洛夫","弗赖堡","33",2970,"0",0,0,0,"0%",2,0,0,"1992-06-02","右脚","德国","2020-06-30","守门员",0,0,29,0,0,6,0,1128,0.631,2,1,2970,732,0,0,"德甲",NA,540
"杰罗姆","弗赖堡","24(11)",1294,"2",647,23,7,"8.7%",25,2,0,"1988-06-26","右脚","德国","2021-06-30","中场",32,17,21,17,4,20,29,459,0.73,21,2,647,54,2,7,"德甲",NA,135
"M.弗雷肯","弗赖堡","1",90,"0",0,0,0,"0%",0,0,0,"1993-06-13","双脚","荷兰","2022-06-30","守门员",0,0,0,0,0,0,0,28,0.786,0,0,0,13,0,0,"德甲",NA,81
"菲利普林哈特","弗赖堡","11(4)",607,"0",0,3,0,"0%",5,0,0,"1996-07-11","右脚","奥地利","2022-06-30","后卫",6,11,37,2,7,16,2,289,0.817,2,0,0,64,0,5,"德甲",NA,225
"赫里尔","弗赖堡","18",1616,"0",0,12,4,"0%",23,0,0,"1990-03-09","右脚","德国","2021-06-30","中场",47,30,38,14,3,23,26,878,0.863,12,0,0,47,0,12,"德甲",NA,360
"格里弗","弗赖堡","23(4)",1763,"7(2)",352.6,57,17,"8.8%",19,10,1,"1993-04-07","右脚","意大利、德国","2019-06-30","中场",33,4,16,29,2,5,13,841,0.79,46,5,352.6,95,3,30,"德甲",NA,540
"弗兰茨","弗赖堡","31(2)",2232,"2",1116,19,10,"10.5%",35,5,0,"1986-10-14","左脚","德国","2020-06-30","中场",37,21,29,16,4,46,20,594,0.783,16,1,2232,53,1,7,"德甲",NA,135
"D.海因茨","弗赖堡","34",3054,"1",3054,10,4,"10%",11,2,1,"1993-08-15","左脚","德国","2022-06-30","后卫",45,48,208,10,22,60,30,1649,0.819,9,1,3054,336,1,22,"德甲",NA,585
"卢卡","弗赖堡","30(14)",1718,"9(3)",286.3,64,30,"9.4%",26,2,2,"1996-05-19","左脚","德国","2022-06-30","前锋",20,15,5,25,3,12,31,571,0.818,22,1,1718,55,5,20,"德甲",NA,360
"尼德莱赫纳","弗赖堡","24(12)",968,"4",242,30,17,"13.3%",19,10,1,"1990-10-24","左脚","德国","2020-06-30","前锋",7,6,10,15,4,16,23,170,0.7,10,1,968,10,0,8,"德甲",NA,405
"特拉齐诺","弗赖堡","12(5)",515,"1",515,11,5,"9.1%",9,0,0,"1991-04-15","右脚","德国、意大利","2020-06-30","中场",7,3,2,13,2,2,5,202,0.767,9,0,0,7,1,8,"德甲",NA,225
"卢卡士.浩勒","弗赖堡","25(14)",1001,"4",250.2,26,11,"15.4%",27,4,0,"1994-07-10","右脚","德国","2022-06-30","前锋",19,3,14,23,1,16,17,251,0.673,9,0,0,7,0,7,"德甲",NA,180
"库布勒","弗赖堡","16(1)",1187,"0",0,6,2,"0%",21,0,1,"1992-08-30","右脚","德国","2020-06-30","后卫",34,32,42,3,5,27,17,408,0.694,7,2,593.5,65,0,6,"德甲",NA,135
"曼罗兰撒来","弗赖堡","10(5)",526,"2",263,14,6,"14.3%",19,1,0,"1997-05-22","双脚","匈牙利","2022-06-30","中场",12,3,7,8,0,13,17,137,0.781,5,0,0,7,0,5,"德甲",NA,180
"阿布拉西","弗赖堡","10(1)",791,"0",0,7,2,"0%",16,0,0,"1990-03-27","右脚","阿尔巴尼亚、瑞士","2020-06-30","中场",20,20,15,7,3,5,18,363,0.86,2,0,0,19,0,3,"德甲",NA,180
"冈特","弗赖堡","32",2880,"0",0,29,8,"0%",25,5,0,"1993-02-28","左脚","德国","2022-06-30","后卫",38,18,37,22,7,10,28,965,0.769,48,5,576,112,0,39,"德甲",NA,450
"L.瓦尔赞尼亚","弗洛西诺尼","15(3)",978,"2",489,21,7,"9.5%",17,0,0,"1996-03-05","双脚","意大利","2023-06-30","中场",28,18,7,6,0,13,13,275,0.771,11,1,978,23,0,8,"意甲",NA,126
"Y.捷巴沙","弗洛西诺尼","31(2)",2535,"1",2535,31,8,"3.2%",30,6,0,"1993-03-10","右脚","加纳、意大利","2021-06-30","中场",47,31,26,48,8,19,42,855,0.827,19,0,0,59,2,51,"意甲",NA,135
"维维亚尼","弗洛西诺尼","5",341,"0",0,4,0,"0%",5,0,0,"1992-03-24","右脚","意大利","2019-06-30","中场",6,8,2,4,3,4,4,216,0.843,3,0,0,31,0,3,"意甲",NA,270
"梅尔罗","弗洛西诺尼","29(6)",2128,"0",0,10,2,"0%",39,0,0,"1991-07-10","右脚","意大利","2022-06-30","中场",37,30,34,20,11,13,11,1177,0.82,20,0,0,198,1,19,"意甲",NA,144
"阿里澳多","弗洛西诺尼","19",1684,"0",0,6,2,"0%",20,1,0,"1989-06-11","左脚","意大利","2021-06-30","后卫",18,16,98,1,20,51,15,627,0.831,4,0,0,104,1,3,"意甲",NA,90
"保罗吉利奥尼","弗洛西诺尼","9(3)",515,"1",515,8,3,"12.5%",1,0,0,"1997-02-02","右脚","意大利","2019-06-30","后卫",8,4,18,5,0,2,12,173,0.665,6,0,0,30,0,2,"意甲",NA,117
"基亚诺","弗洛西诺尼","33(5)",2453,"7(2)",490.6,75,23,"6.7%",88,17,2,"1990-02-22","左脚","意大利","2021-06-30","中场",32,7,15,63,4,22,67,730,0.73,57,4,613.2,83,4,16,"意甲",NA,252
"托罗塔","弗洛西诺尼","13(9)",398,"0",0,7,3,"0%",3,3,0,"1992-09-29","左脚","意大利","2020-06-30","前锋",7,3,2,6,1,4,8,114,0.728,3,0,0,11,0,1,"意甲",NA,315
"卡普亚诺","弗洛西诺尼","27",2344,"0",0,7,0,"0%",11,0,1,"1991-10-14","左脚","意大利、葡萄牙","2021-06-30","后卫",55,34,98,6,30,60,21,1161,0.835,6,0,0,134,0,2,"意甲",NA,90
"斯波尔蒂耶洛","弗洛西诺尼","35",3150,"0",0,0,0,"0%",4,0,2,"1992-05-10","右脚","意大利","2019-06-30","守门员",1,0,13,0,0,8,0,988,0.624,0,0,0,568,0,0,"意甲",NA,450
"施奥化尼","弗洛西诺尼","32(15)",1628,"5(2)",542.7,53,20,"5.7%",19,7,0,"1985-07-31","右脚","意大利","2019-06-30","前锋",8,3,9,14,0,109,26,344,0.666,15,2,814,12,1,2,"意甲",NA,81
